State,Date,Vegetable_Id ,Vegetable_Name ,Wholesale_Price ,Retail_Price ,Shoping_Mall_Price ,Units ,Image
delhi,,,,,,,,
,2024-05-01,onionbig,Onion Big,25,29 - 32,30 - 41,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 0}"
,2024-05-01,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 60, 'vegetableWidth': 64, 'vegetableTop': 64}"
,2024-05-01,tomato,Tomato,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 50, 'vegetableWidth': 64, 'vegetableTop': 124}"
,2024-05-01,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,"{'vegetableHeight': 69, 'vegetableWidth': 64, 'vegetableTop': 174}"
,2024-05-01,beetroot,Beetroot,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 93, 'vegetableWidth': 64, 'vegetableTop': 243}"
,2024-05-01,potato,Potato,30,35 - 38,36 - 50,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 90, 'vegetableTop': 400}"
,2024-05-01,plantain,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 336}"
,2024-05-01,amaranthleaves,Amaranth Leaves,15,17 - 19,18 - 25,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 78, 'vegetableTop': 613}"
,2024-05-01,amla,Amla,70,81 - 89,84 - 116,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 88, 'vegetableTop': 677}"
,2024-05-01,ashgourd,Ash gourd,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 109, 'vegetableTop': 741}"
,2024-05-01,babycorn,Baby Corn,50,58 - 64,60 - 83,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 100, 'vegetableTop': 805}"
,2024-05-01,bananaflower,Banana Flower,20,23 - 25,24 - 33,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 107, 'vegetableTop': 869}"
,2024-05-01,capsicum,Capsicum,49,56 - 62,59 - 81,1kg,"{'vegetableHeight': 81, 'vegetableWidth': 64, 'vegetableTop': 933}"
,2024-05-01,bittergourd,Bitter Gourd,32,37 - 41,38 - 53,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 87, 'vegetableTop': 1101}"
,2024-05-01,bottlegourd,Bottle Gourd,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 64, 'vegetableTop': 1165}"
,2024-05-01,butterbeans,Butter Beans,49,56 - 62,59 - 81,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 82, 'vegetableTop': 1229}"
,2024-05-01,broadbeans,Broad Beans,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 1293}"
,2024-05-01,cabbage,Cabbage,22,25 - 28,26 - 36,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 70, 'vegetableTop': 1357}"
,2024-05-01,carrot,Carrot,44,51 - 56,53 - 73,1kg,"{'vegetableHeight': 85, 'vegetableWidth': 64, 'vegetableTop': 464}"
,2024-05-01,cauliflower,Cauliflower,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 71, 'vegetableTop': 1421}"
,2024-05-01,clusterbeans,Cluster beans,42,48 - 53,50 - 69,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 85, 'vegetableTop': 1485}"
,2024-05-01,coconut,Coconut,34,39 - 43,41 - 56,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 77, 'vegetableTop': 1549}"
,2024-05-01,colocasialeaves,Colocasia Leaves,16,18 - 20,19 - 26,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 79, 'vegetableTop': 1613}"
,2024-05-01,colocasia,Colocasia,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 1677}"
,2024-05-01,corianderleaves,Coriander Leaves,8,9 - 10,10 - 13,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 56, 'vegetableTop': 1741}"
,2024-05-01,corn,Corn,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 111, 'vegetableWidth': 64, 'vegetableTop': 1805}"
,2024-05-01,cucumber,Cucumber,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 92, 'vegetableTop': 1916}"
,2024-05-01,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,"{'vegetableHeight': 81, 'vegetableWidth': 64, 'vegetableTop': 1980}"
,2024-05-01,dillleaves,Dill Leaves,13,15 - 17,16 - 21,1kg,"{'vegetableHeight': 77, 'vegetableWidth': 64, 'vegetableTop': 2061}"
,2024-05-01,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 87, 'vegetableTop': 2138}"
,2024-05-01,brinjal,Brinjal,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 86, 'vegetableWidth': 64, 'vegetableTop': 2202}"
,2024-05-01,brinjalbig,Brinjal (Big),26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 71, 'vegetableWidth': 64, 'vegetableTop': 2288}"
,2024-05-01,elephantyam,Elephant Yam,27,31 - 34,32 - 45,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 86, 'vegetableTop': 2423}"
,2024-05-01,fenugreekleaves,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 91, 'vegetableTop': 2551}"
,2024-05-01,frenchbeans,French Beans,51,59 - 65,61 - 84,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 97, 'vegetableTop': 2615}"
,2024-05-01,garlic,Garlic,156,179 - 198,187 - 257,1kg,"{'vegetableHeight': 68, 'vegetableWidth': 64, 'vegetableTop': 2679}"
,2024-05-01,ginger,Ginger,116,133 - 147,139 - 191,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 71, 'vegetableTop': 549}"
,2024-05-01,oniongreen,Onion Green,45,52 - 57,54 - 74,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 104, 'vegetableTop': 2815}"
,2024-05-01,greenpeas,Green Peas,42,48 - 53,50 - 69,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 84, 'vegetableTop': 2943}"
,2024-05-01,ivygourd,Ivy Gourd,24,28 - 30,29 - 40,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 96, 'vegetableTop': 3007}"
,2024-05-01,lemon,Lemon (Lime),63,72 - 80,76 - 104,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 72, 'vegetableTop': 3071}"
,2024-05-01,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 73, 'vegetableTop': 3210}"
,2024-05-01,mintleaves,Mint Leaves,5,6 - 6,6 - 8,1kg,"{'vegetableHeight': 64, 'vegetableWidth': 101, 'vegetableTop': 3274}"
